City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Ion Corvin,RO,44.1167,27.8,60.71,50,100,5.75,overcast clouds
274,Lircay,PE,-12.9896,-74.7205,46.06,57,0,4.05,clear sky
275,Itarema,BR,-2.9248,-39.9167,78.6,77,73,16.84,broken clouds
276,Norman Wells,CA,65.282,-126.8329,26.64,80,75,5.75,broken clouds
277,Hualmay,PE,-11.0964,-77.6139,60.12,89,92,8.48,overcast clouds
278,Zverinogolovskoye,RU,54.4586,64.8542,57.02,36,100,4.41,overcast clouds
279,Taoudenni,ML,22.6783,-3.9836,87.8,22,100,6.67,overcast clouds
280,Chara,RU,56.9064,118.2631,40.46,72,65,6.17,broken clouds
281,Dembi Dolo,ET,8.5333,34.8,65.41,81,14,1.01,light rain
282,Esso,RU,55.9333,158.7,34.63,99,100,2.93,light snow
283,Umm Kaddadah,SD,13.6017,26.6876,86.31,22,7,16.17,clear sky
284,Sobolevo,RU,54.4299,31.8996,46.56,79,14,10.13,few clouds
285,Thompson,CA,55.7435,-97.8558,35.76,100,100,17.27,overcast clouds
286,Saint Anthony,US,45.0205,-93.218,63.55,67,75,18.41,broken clouds
287,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,93,100,0.0,overcast clouds
288,Noumea,NC,-22.2763,166.4572,79.0,99,100,7.52,overcast clouds
289,Blythe,US,33.6103,-114.5964,82.85,30,0,6.91,clear sky
290,Merauke,ID,-8.4667,140.3333,84.0,75,100,13.71,overcast clouds
291,Zatoka,UA,46.0725,30.4654,57.54,49,61,2.37,broken clouds
292,Mgandu,TZ,-5.95,34.1333,72.07,35,49,12.01,scattered clouds
293,Richards Bay,ZA,-28.783,32.0377,77.36,66,99,10.49,overcast clouds
294,Moyamba,SL,8.1667,-12.4333,69.93,97,100,5.68,light rain
295,San Patricio,US,28.017,-97.5169,82.83,87,0,5.93,clear sky
296,Umm Lajj,SA,25.0213,37.2685,87.71,43,0,10.54,clear sky
297,Coihaique,CL,-45.5752,-72.0662,40.95,87,100,2.3,light rain
298,Ihosy,MG,-22.4,46.1167,79.72,32,0,7.56,clear sky
299,Talnakh,RU,69.4865,88.3972,34.21,92,100,6.02,overcast clouds
300,Vao,NC,-22.6667,167.4833,72.54,77,100,18.28,light rain
301,Weligama,LK,5.9667,80.4167,82.71,75,91,11.88,overcast clouds
302,Stornoway,GB,58.2093,-6.3865,53.56,95,75,18.41,broken clouds
303,Sijunjung,ID,-0.6876,100.9537,86.47,63,82,1.03,broken clouds
304,Okhotsk,RU,59.3833,143.3,35.44,58,0,10.16,clear sky
305,Camacupa,AO,-12.0167,17.4833,76.62,32,21,3.51,few clouds
306,Bengkulu,ID,-3.8004,102.2655,81.79,74,99,6.04,overcast clouds
307,Gien,FR,47.6933,2.6309,49.28,88,1,4.61,clear sky
308,Mwene-Ditu,CD,-7.0,23.45,77.18,60,40,4.94,scattered clouds
309,Devgarh,IN,25.5333,73.9,86.7,25,0,4.83,clear sky
310,Muscat,OM,23.6139,58.5922,91.42,29,0,3.94,clear sky
311,Esna,EG,25.2934,32.554,83.21,28,0,10.67,clear sky
312,Sibolga,ID,1.7427,98.7792,85.55,62,99,5.17,overcast clouds
313,Esperance,AU,-33.8667,121.9,58.05,60,53,22.15,light rain
314,Sayyan,YE,15.1718,44.3244,64.13,27,11,6.31,few clouds
315,Fortuna,US,40.5982,-124.1573,50.92,93,75,6.91,broken clouds
316,Muros,ES,42.7762,-9.0603,59.85,89,17,7.58,few clouds
317,Tura,IN,25.5198,90.2201,75.04,94,100,5.06,overcast clouds
318,Batemans Bay,AU,-35.7167,150.1833,64.09,82,100,13.22,light rain
319,Husavik,IS,66.0449,-17.3389,38.16,82,12,10.13,few clouds
320,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,60.78,88,67,1.88,broken clouds
321,Assiniboia,CA,49.6334,-105.9845,40.82,45,83,18.41,broken clouds
322,Peniche,PT,39.3558,-9.3811,63.28,95,4,8.1,clear sky
323,Gorey,IE,52.6747,-6.2925,55.58,97,100,13.56,overcast clouds
324,Olyka,UA,50.7186,25.8125,51.17,74,78,4.38,broken clouds
325,Rivera,UY,-30.9053,-55.5508,49.24,98,79,4.29,broken clouds
326,Sola,VU,-13.8833,167.55,84.87,79,75,0.0,broken clouds
327,Yenagoa,NG,4.9247,6.2642,77.59,87,99,3.94,light rain
328,Kayerkan,RU,69.3497,87.7602,33.53,100,100,2.24,overcast clouds
329,Ivanjica,RS,43.5803,20.2311,55.33,86,77,0.76,broken clouds
330,Obo,CF,5.3998,26.4869,76.44,79,40,0.54,scattered clouds
331,Longkou,CN,37.6508,120.3286,64.49,39,87,2.39,overcast clouds
332,Show Low,US,34.2542,-110.0298,52.14,78,0,8.05,clear sky
333,Turukhansk,RU,65.8167,87.9833,36.68,95,100,10.4,light rain
334,Cabra,ES,37.4725,-4.4421,62.33,72,100,2.55,overcast clouds
335,Namibe,AO,-15.1961,12.1522,72.16,78,49,3.44,scattered clouds
336,Lyubim,RU,58.3625,40.6843,43.99,69,12,3.31,few clouds
337,Alta Floresta,BR,-9.8756,-56.0861,70.97,87,95,1.95,overcast clouds
338,Azul,AR,-36.777,-59.8585,54.34,45,100,8.5,overcast clouds
339,Havelock,US,34.8791,-76.9013,62.92,94,0,3.44,clear sky
340,Porto Belo,BR,-27.1578,-48.5531,72.18,97,100,10.71,overcast clouds
341,Ayan,RU,56.45,138.1667,41.56,53,0,9.46,clear sky
342,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.44,79,98,10.87,overcast clouds
343,Athabasca,CA,54.7169,-113.2854,36.01,58,7,8.99,clear sky
